,Training datasets,
Protein_ID,Cysteine_ positions,Pos & Neg samples
sp|P04117|FABP4_MOUSE,118,SNO
sp|P49023|PAXI_HUMAN,108,SNO
sp|O70250|PGAM2_MOUSE,23,SNO
sp|O70251|EF1B_MOUSE ,50,SNO
sp|A3KMP2|TTC38_MOUSE,24,SNO
sp|A3KMP2|TTC38_MOUSE,124,SNO
sp|A3KMP2|TTC38_MOUSE,363,SNO
sp|A3KMP2|TTC38_MOUSE,425,SNO
sp|O35490|BHMT1_MOUSE,131,SNO
sp|O35490|BHMT1_MOUSE,217,SNO
sp|O35490|BHMT1_MOUSE,256,SNO
sp|O35490|BHMT1_MOUSE,299,SNO
sp|O35490|BHMT1_MOUSE,300,SNO
sp|P17427|AP2A2_MOUSE,330,SNO
sp|P17426|AP2A1_MOUSE,283,SNO
sp|P17426|AP2A1_MOUSE,941,SNO
sp|P17426|AP2A1_MOUSE,970,SNO
sp|Q8JZN5|ACAD9_MOUSE,183,SNO
sp|Q8JZN5|ACAD9_MOUSE,331,SNO
sp|Q8JZN5|ACAD9_MOUSE,617,SNO
sp|P17425|HMCS1_RAT,417,SNO
sp|P63323|RS12_MOUSE,92,SNO
sp|P37040|NCPR_MOUSE,472,SNO
sp|P37040|NCPR_MOUSE,566,SNO
sp|P37040|NCPR_MOUSE,630,SNO
sp|O60443|GSDME_HUMAN,156,SNO
sp|O35488|S27A2_MOUSE,427,SNO
sp|Q9UL62|TRPC5_HUMAN,553,SNO
sp|Q9UL62|TRPC5_HUMAN,558,SNO
sp|Q9Y272|RASD1_HUMAN,11,SNO
sp|P63329|PP2BA_RAT,228,SNO
sp|Q91X72|HEMO_MOUSE,255,SNO
sp|Q00839|HNRPU_HUMAN,562,SNO
sp|P05455|LA_HUMAN,232,SNO
sp|Q9UGM3|DMBT1_HUMAN,406,SNO
sp|Q9UGM3|DMBT1_HUMAN,1036,SNO
sp|Q920E5|FPPS_MOUSE,332,SNO
sp|Q9Y277|VDAC3_HUMAN,2,SNO
sp|Q9Y277|VDAC3_HUMAN,36,SNO
sp|Q9Y277|VDAC3_HUMAN,65,SNO
sp|Q924M7|MPI_MOUSE,11,SNO
sp|Q924M7|MPI_MOUSE,29,SNO
sp|Q924M7|MPI_MOUSE,197,SNO
sp|Q924M7|MPI_MOUSE,309,SNO
sp|Q3UX10|TBAL3_MOUSE,323,SNO
sp|P54868|HMCS2_HUMAN,305,SNO
sp|Q9DB27|MCTS1_MOUSE,113,SNO
sp|Q9DB27|MCTS1_MOUSE,144,SNO
sp|Q9DB26|PHYD1_MOUSE,49,SNO
sp|Q9JKS4|LDB3_MOUSE,653,SNO
sp|Q9CXA2|T3HPD_MOUSE,39,SNO
sp|Q9CXA2|T3HPD_MOUSE,310,SNO
sp|Q9DB29|IAH1_MOUSE,47,SNO
sp|Q9DB29|IAH1_MOUSE,173,SNO
sp|P63330|PP2AA_MOUSE,20,SNO
sp|P63330|PP2AA_MOUSE,196,SNO
sp|P63330|PP2AA_MOUSE,251,SNO
sp|Q9H0C8|ILKAP_HUMAN,190,SNO
sp|Q9Z130|HNRDL_MOUSE,58,SNO
sp|Q9Z130|HNRDL_MOUSE,158,SNO
sp|P61158|ARP3_HUMAN,8,SNO
sp|P61158|ARP3_HUMAN,12,SNO
sp|Q91WU5|AS3MT_MOUSE,33,SNO
sp|Q8C460|ERI3_MOUSE,285,SNO
sp|Q9DB20|ATPO_MOUSE,141,SNO
sp|P27695|APEX1_HUMAN,65,SNO
sp|P27695|APEX1_HUMAN,93,SNO
sp|P27695|APEX1_HUMAN,310,SNO
sp|Q7TPV4|MBB1A_MOUSE,361,SNO
sp|Q7TPV4|MBB1A_MOUSE,676,SNO
sp|Q7TPV4|MBB1A_MOUSE,890,SNO
